id,product_id,name,old_price,new_price,change_date
1,8870,Bebida energética Red Bull,6.3,7.92,2025-11-11 07:19:47
2,60600,Cerveza tostada Turia,8.28,9.96,2025-11-11 07:23:27
3,66413,Cerveza Amstel,5.4,6.24,2025-11-11 07:23:30
4,11178,Café molido natural Hacendado,5.4,5.3,2025-11-11 07:24:51
5,13700,Café molido fuerte Hacendado,5.4,5.3,2025-11-11 07:24:52
6,13593,Café molido descafeinado Hacendado,5.6,5.5,2025-11-11 07:24:53
7,75538,Mascarilla Protectora Color Vive Elvive cabello teñido o con mechas,4.9,4.4,2025-11-11 07:31:26
8,67899,Mascarilla Hidra Hialurónico Elvive cabello deshidratado,4.9,4.4,2025-11-11 07:31:27
9,73850,Bálsamo after shave Sensitive Nivea Men 0% alcohol,5.95,5.85,2025-11-11 07:32:26
10,69444,Tomate rosa,1.58,1.63,2025-11-11 07:36:16
11,69326,Berenjena,0.59,0.74,2025-11-11 07:36:27
12,81661.1,Boquerón sin limpiar,1.59,1.19,2025-11-11 07:41:40
13,81661.2,Boquerón limpio sin cabeza,1.59,1.19,2025-11-11 07:41:41
